build,opp,tier,policy,run,outcome,elapsed,dealt,taken,pParts,pStart,eParts,eStart,pFlipS,eFlipS,pStruct,eStruct,pKJ,pCap,eKJ,eCap,pFlat,eFlat,maxRate,drives,cause
qa_r1_b2_vortex,bulwark,Champion,charge,1,PlayerWin,44.5,549,150,12,14,10,13,0.0,0.0,0.86,0.77,172,300,0,60,False,True,16.67,1,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 35 s"
qa_r1_b2_vortex,bulwark,Champion,charge,2,PlayerWin,81.6,941,50,12,14,9,13,1.4,21.4,0.86,0.69,58,300,0,60,False,True,16.67,1,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 72 s"
qa_r1_b5_discus,tipper,Rookie,charge,0,PlayerWin,48.2,248,483,11,11,10,12,0.0,1.9,1.00,0.83,22,300,0,60,False,True,0.00,0,"Enemy counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 38 s"
qa_r1_b5_discus,tipper,Rookie,charge,1,PlayerWin,41.1,1081,161,11,11,4,12,0.2,11.3,1.00,0.33,8,300,0,0,False,True,0.00,0,"Enemy counted out — out of power — 300 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 31 s"
qa_r1_b5_discus,tipper,Rookie,charge,2,PlayerWin,27.4,613,417,10,11,0,12,1.3,5.4,0.91,0.00,126,300,0,0,False,True,0.00,0,"KO — enemy core destroyed"
qa_r1_b5_discus,scout,Champion,charge,0,PlayerLoss,57.0,446,38,11,11,6,11,2.4,3.7,1.00,0.55,0,300,250,300,True,False,0.00,0,"Counted out — out of power — all 300 kJ spent in 47 s; carry more battery, or spend less on driving and spinning"
qa_r1_b5_discus,scout,Champion,charge,1,PlayerWin,5.9,409,0,11,11,0,11,0.0,0.0,1.00,0.00,253,300,0,0,False,True,0.00,0,"KO — enemy core destroyed"
qa_r1_b5_discus,scout,Champion,charge,2,PlayerLoss,63.1,579,22,11,11,2,11,0.0,15.2,1.00,0.18,0,300,222,240,True,False,0.00,0,"Counted out — out of power — all 300 kJ spent in 53 s; carry more battery, or spend less on driving and spinning"
qa_r1_b4_plough,tipper,Veteran,charge,0,PlayerLoss,35.0,100,111,12,13,10,12,9.5,7.2,0.92,0.83,0,60,33,60,True,False,5.57,12,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 25 s"
qa_r1_b4_plough,tipper,Veteran,charge,1,PlayerLoss,41.6,141,82,12,13,9,12,6.2,2.9,0.92,0.75,0,60,8,60,True,False,5.57,16,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 32 s"
qa_r1_b4_plough,tipper,Veteran,charge,2,PlayerLoss,43.2,26,104,12,13,9,12,2.4,2.2,0.92,0.75,0,60,3,60,True,False,5.57,17,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 33 s"
qa_r1_b4_plough,scout,Rookie,charge,0,PlayerLoss,33.2,0,81,12,13,5,11,7.8,4.3,0.92,0.45,0,60,52,60,True,False,5.57,12,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 23 s"
qa_r1_b4_plough,scout,Rookie,charge,1,PlayerLoss,45.2,138,172,12,13,5,11,7.7,3.4,0.92,0.45,0,60,53,60,True,False,5.57,19,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 35 s"
qa_r1_b4_plough,scout,Rookie,charge,2,PlayerLoss,40.4,0,60,12,13,9,11,6.2,1.5,0.92,0.82,0,60,263,300,True,False,5.57,12,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 30 s"
# SWEEP B DONE
